id,timestamp,psp,country,payment_method,card_brand,latency_ms,status
upload_000006,2024-07-15 10:00:11.000000,PSP_Beta,BR,PIX,,1672.3,approved
upload_000016,2024-07-15 10:08:57.000000,PSP_Gamma,BR,CARD,Mastercard,919.3,approved
upload_000009,2024-07-15 10:18:27.000000,PSP_Gamma,CO,PSE,,1108.2,approved
upload_000037,2024-07-15 10:38:23.000000,PSP_Gamma,MX,CARD,Mastercard,1651.2,declined
upload_000024,2024-07-15 10:39:47.000000,PSP_Beta,BR,PIX,,2470.0,approved
upload_000025,2024-07-15 10:41:01.000000,PSP_Gamma,MX,OXXO,,1743.4,approved
upload_000021,2024-07-15 10:42:45.000000,PSP_Gamma,MX,CARD,Visa,2397.6,approved
upload_000048,2024-07-15 10:43:13.000000,PSP_Alpha,MX,CARD,Mastercard,1006.3,approved
upload_000010,2024-07-15 10:44:29.000000,PSP_Beta,CO,PSE,,2489.1,declined
upload_000004,2024-07-15 10:52:14.000000,PSP_Beta,MX,OXXO,,1482.6,declined
upload_000008,2024-07-15 10:59:55.000000,PSP_Delta,MX,CARD,Mastercard,19836.4,timeout
upload_000018,2024-07-15 11:01:55.000000,PSP_Delta,BR,PIX,,1736.4,approved
upload_000032,2024-07-15 11:09:54.000000,PSP_Gamma,MX,CARD,Visa,979.1,approved
upload_000077,2024-07-15 11:10:45.000000,PSP_Gamma,MX,CARD,Mastercard,3339.4,approved
upload_000013,2024-07-15 11:13:00.000000,PSP_Beta,MX,OXXO,,18793.0,timeout
upload_000078,2024-07-15 11:17:53.000000,PSP_Beta,MX,OXXO,,2116.1,approved
upload_000029,2024-07-15 11:20:35.000000,PSP_Gamma,CO,CARD,Visa,1404.4,declined
upload_000027,2024-07-15 11:20:46.000000,PSP_Beta,MX,CARD,Mastercard,2625.0,declined
upload_000080,2024-07-15 11:30:33.000000,PSP_Beta,BR,CARD,Mastercard,3804.6,approved
upload_000036,2024-07-15 11:31:39.000000,PSP_Beta,MX,OXXO,,4141.6,approved
upload_000084,2024-07-15 11:40:34.000000,PSP_Alpha,MX,OXXO,,1131.3,approved
upload_000020,2024-07-15 11:40:36.000000,PSP_Beta,BR,PIX,,3676.6,approved
upload_000041,2024-07-15 11:50:30.000000,PSP_Beta,MX,OXXO,,2459.9,approved
upload_000096,2024-07-15 11:56:50.000000,PSP_Delta,MX,OXXO,,1554.9,declined
upload_000068,2024-07-15 11:57:15.000000,PSP_Beta,BR,CARD,Visa,18557.7,timeout
upload_000028,2024-07-15 12:01:41.000000,PSP_Beta,CO,CARD,Visa,2800.7,approved
upload_000073,2024-07-15 12:02:43.000000,PSP_Alpha,MX,CARD,Mastercard,400.6,approved
upload_000014,2024-07-15 12:05:44.000000,PSP_Alpha,MX,OXXO,,500.5,approved
upload_000047,2024-07-15 12:11:31.000000,PSP_Gamma,BR,PIX,,1414.2,declined
upload_000094,2024-07-15 12:15:08.000000,PSP_Delta,CO,PSE,,18335.2,timeout
upload_000035,2024-07-15 12:17:45.000000,PSP_Gamma,MX,OXXO,,2569.1,approved
upload_000082,2024-07-15 12:20:30.000000,PSP_Delta,MX,OXXO,,1533.7,approved
upload_000002,2024-07-15 12:20:36.000000,PSP_Delta,BR,CARD,Visa,16977.3,timeout
upload_000052,2024-07-15 12:29:34.000000,PSP_Delta,BR,PIX,,1288.3,declined
